datetime	wtr_0.5	wtr_1	wtr_1.5	wtr_2	wtr_2.5	wtr_3	wtr_3.5	wtr_4	wtr_4.5	wtr_5	wtr_5.5	wtr_6	wtr_6.5	wtr_7	wtr_7.5	wtr_8	wtr_8.5	wtr_9	wtr_9.5	wtr_10	wtr_10.5	wtr_11	wtr_11.5	wtr_12	wtr_12.5	wtr_13	wtr_13.5	wtr_14	wtr_14.5	wtr_15
2010-05-19 00:00:00	12.366	12.358	12.345	12.338	12.331	12.301	12.287	12.277	12.276	11.114	10.623	10.393	9.785	9.329	9.194	9.051	8.886	8.69	8.634	8.523	8.492	8.466	8.34	8.121	7.968	7.806	7.696	7.636	7.608	7.48
2010-05-19 01:00:00	12.573	12.573	12.565	12.542	12.531	12.496	12.437	12.372	12.216	11.869	10.953	10.653	10.14	9.714	9.569	9.436	9.181	8.86	8.664	8.543	8.507	8.471	8.345	8.211	8.088	7.946	7.831	7.726	7.663	7.575
2010-05-19 02:00:00	12.681	12.681	12.677	12.672	12.661	12.646	12.637	12.612	12.531	12.294	11.608	11.183	10.77	10.389	10.024	9.831	9.666	9.275	8.994	8.708	8.537	8.486	8.43	8.241	8.078	7.971	7.916	7.851	7.763	7.64
2010-05-19 03:00:00	12.748	12.744	12.74	12.732	12.726	12.716	12.702	12.682	12.561	12.134	11.843	11.663	11.365	10.959	10.339	10.011	9.881	9.84	9.254	8.968	8.812	8.576	8.495	8.376	8.088	7.956	7.906	7.851	7.813	7.77
2010-05-19 04:00:00	12.756	12.748	12.745	12.737	12.731	12.716	12.672	12.532	12.381	12.294	12.233	12.028	11.27	10.639	10.199	10.011	9.941	9.355	9.039	8.923	8.732	8.581	8.475	8.246	8.098	8.051	8.041	8.001	7.863	7.575
2010-05-19 05:00:00	12.753	12.749	12.74	12.727	12.696	12.636	12.542	12.487	12.476	12.459	12.408	12.183	11.065	10.744	10.249	9.891	9.226	8.985	8.879	8.753	8.567	8.486	8.35	8.246	8.178	8.131	8.106	8.031	7.878	7.585
2010-05-19 06:00:00	12.796	12.778	12.77	12.757	12.742	12.701	12.602	12.537	12.536	12.479	12.303	12.138	11.215	10.874	10.244	9.276	8.911	8.825	8.689	8.62	8.552	8.476	8.35	8.261	8.213	8.166	8.026	7.851	7.738	7.63
2010-05-19 07:00:00	12.866	12.843	12.835	12.827	12.819	12.788	12.757	12.662	12.631	12.454	12.033	11.828	11.045	10.734	9.939	8.951	8.806	8.66	8.544	8.513	8.507	8.502	8.43	8.326	8.263	8.186	7.966	7.731	7.698	7.635
2010-05-19 08:00:00	12.961	12.93	12.92	12.905	12.89	12.844	12.777	12.702	12.666	12.314	12.023	11.578	11.18	10.604	10.094	9.291	8.831	8.65	8.554	8.516	8.491	8.473	8.44	8.391	8.343	8.226	7.951	7.732	7.653	7.61
2010-05-19 09:00:00	13.136	13.087	13.07	13.032	13.011	12.956	12.807	12.732	12.606	12.259	12.088	11.698	11.225	10.479	10.149	9.541	9.006	8.895	8.784	8.743	8.721	8.651	8.48	8.411	8.388	8.281	7.981	7.719	7.648	7.595
2010-05-19 10:00:00	13.306	13.238	13.23	13.112	12.901	12.826	12.677	12.542	12.376	12.339	12.068	11.583	10.68	10.289	9.984	9.301	9.001	8.805	8.779	8.759	8.706	8.607	8.43	8.271	8.063	7.906	7.661	7.617	7.573	7.525
2010-05-19 11:00:00	13.531	13.458	13.405	13.137	12.766	12.696	12.477	12.412	12.351	12.294	11.958	11.818	11.365	10.449	9.754	9.226	9.036	8.88	8.744	8.683	8.662	8.606	8.43	8.246	7.948	7.666	7.651	7.636	7.573	7.52
2010-05-19 12:00:00	13.761	13.703	13.625	13.282	12.751	12.666	12.472	12.442	12.376	12.334	11.963	11.853	11.535	10.584	9.609	9.316	9.086	8.795	8.624	8.568	8.477	8.411	8.255	8.056	7.763	7.681	7.636	7.601	7.503	7.475
2010-05-19 13:00:00	13.576	13.533	13.5	13.397	13.036	12.656	12.467	12.447	12.261	12.079	11.883	11.783	10.925	9.779	9.314	9.111	8.791	8.56	8.469	8.448	8.302	8.126	7.945	7.806	7.688	7.671	7.639	7.551	7.473	7.465
2010-05-19 14:00:00	13.411	13.393	13.38	13.342	13.206	13.066	12.697	12.492	12.261	11.869	11.438	11.388	10.82	9.839	9.279	8.961	8.601	8.44	8.354	8.348	8.177	7.971	7.85	7.791	7.748	7.741	7.664	7.566	7.483	7.46
2010-05-19 15:00:00	13.591	13.553	13.495	13.402	13.241	13.101	12.857	12.477	11.676	11.054	10.918	10.633	10.07	9.399	8.799	8.501	8.381	8.305	8.284	8.128	7.942	7.841	7.794	7.756	7.723	7.666	7.606	7.526	7.423	7.315
