datetime	u_wind	v_wind	Tair	RelHum	SolRad	AirPres	CC
2010-01-01 00:00:00	-2.491	-1.504	-7.002	94.083	0	1002.646	1
2010-01-01 01:00:00	-1.854	-1.469	-7.27	92.542	0	1002.792	1
2010-01-01 02:00:00	-0.963	-1.446	-8.167	92	0	1002.992	1
2010-01-01 03:00:00	-0.017	-0.899	-8.768	92.917	0	1003.237	1
2010-01-01 04:00:00	-1.227	-0.717	-7.857	94	0	1003.492	1
2010-01-01 05:00:00	-2.023	-0.885	-7.1	93.083	0	1003.646	1
2010-01-01 06:00:00	-2.2	-0.884	-7.08	91.083	0	1003.746	1
2010-01-01 07:00:00	-2.054	-0.603	-7.443	90.917	0.074	1004.029	1
2010-01-01 08:00:00	0.652	-0.328	-9.147	92.458	0.045	1004.529	1
2010-01-01 09:00:00	0.456	-0.442	-10.668	93	0	1005.029	1
2010-01-01 10:00:00	0.468	-0.135	-10.043	93	3.811	1005.575	1
2010-01-01 11:00:00	0.169	-0.63	-8.322	93.458	21.495	1006.037	1
2010-01-01 12:00:00	-1.464	-2	-6.537	93.083	37.295	1006.429	1
2010-01-01 13:00:00	-2.165	-2.812	-6.163	92.458	34.336	1006.837	1
2010-01-01 14:00:00	-2.764	-3.487	-6.317	93	27.631	1007.367	1
2010-01-01 15:00:00	-3.226	-3.541	-6.473	92.542	11.905	1008.121	1
2010-01-01 16:00:00	-3.658	-2.858	-6.48	91.542	1.249	1008.867	1
2010-01-01 17:00:00	-3.806	-3.448	-6.937	90.542	0.684	1009.667	1
2010-01-01 18:00:00	-2.598	-2.706	-7.21	90.458	0.619	1010.375	1
2010-01-01 19:00:00	-2.594	-1.917	-7.152	91.917	0.654	1010.975	1
2010-01-01 20:00:00	-2.753	-3.131	-7.183	93	0.198	1011.621	1
2010-01-01 21:00:00	-3.233	-3.456	-7.093	92.542	0.352	1012.413	1
2010-01-01 22:00:00	-2.822	-3.481	-7.017	92	0.6	1013.267	1
2010-01-01 23:00:00	-2.81	-3.981	-7.315	92	0.288	1013.929	0.96
2010-01-02 00:00:00	-3.501	-3.381	-7.607	91.083	0.833	1014.429	0.88
2010-01-02 01:00:00	-3.05	-2.656	-7.935	89.083	0.743	1014.792	0.8
2010-01-02 02:00:00	-2.444	-1.421	-8.307	89.375	0.463	1014.9	0.79
2010-01-02 03:00:00	-1.225	-1.625	-8.647	91.458	0.096	1015.129	0.87
2010-01-02 04:00:00	-0.399	-2.468	-8.392	92.458	0	1015.629	0.96
2010-01-02 05:00:00	-1.181	-2.564	-7.89	93	0	1016.083	1
2010-01-02 06:00:00	-1.914	-2.474	-7.838	92.542	0.658	1016.483	1
2010-01-02 07:00:00	-2.478	-2.355	-8.247	92.458	0.778	1016.883	1
2010-01-02 08:00:00	-2.395	-1.994	-8.652	93	0	1017.329	1
2010-01-02 09:00:00	-1.972	-1.828	-8.793	93	0	1017.875	1
2010-01-02 10:00:00	-2.413	-2.079	-8.845	92.542	7.778	1018.383	1
2010-01-02 11:00:00	-2.879	-2.258	-9.055	92	25.619	1018.783	1
2010-01-02 12:00:00	-2.665	-2.105	-9.118	92	33.809	1019.229	1
2010-01-02 13:00:00	-2.694	-1.923	-8.965	92	31.158	1019.592	1
2010-01-02 14:00:00	-2.187	-1.508	-8.988	92	30.457	1019.7	1
2010-01-02 15:00:00	-0.83	-1.304	-8.915	92.458	18.234	1019.792	1
2010-01-02 16:00:00	-0.072	-1.564	-8.632	93	2.357	1019.9	1
2010-01-02 17:00:00	-0.256	-2.407	-8.222	93	0	1019.946	1
2010-01-02 18:00:00	-0.449	-2.956	-7.788	93	0	1020.138	1
2010-01-02 19:00:00	-0.127	-2.663	-7.47	93	0	1020.254	1
2010-01-02 20:00:00	0.38	-2.333	-7.303	93	0	1020.108	1
2010-01-02 21:00:00	1.576	-1.746	-7.457	93.458	0	1020.092	1
2010-01-02 22:00:00	2.296	-1.556	-7.59	94	0	1020.154	1
2010-01-02 23:00:00	2.256	-1.983	-7.335	94	0	1020.008	0.9
2010-01-03 00:00:00	2.94	-1.919	-7.507	93.542	0	1019.808	0.7
2010-01-03 01:00:00	3.561	-1.454	-8.52	92.542	0	1019.471	0.49
2010-01-03 02:00:00	3.393	-1.059	-9.637	92	0	1019.017	0.46
2010-01-03 03:00:00	3.682	-0.892	-10.58	91.542	0	1018.571	0.62
2010-01-03 04:00:00	3.794	-0.102	-12.635	91	0	1017.933	0.79
2010-01-03 05:00:00	3.272	0.968	-13.917	90.542	0	1016.996	0.88
2010-01-03 06:00:00	3.229	1.273	-13.858	89.542	0	1016.033	0.88
2010-01-03 07:00:00	4.321	1.156	-13.555	88.542	0	1015.233	0.88
2010-01-03 08:00:00	5.066	1.512	-12.752	87.542	0.034	1014.388	0.9
2010-01-03 09:00:00	5.009	1.299	-12.595	86.542	1.087	1013.717	0.94
2010-01-03 10:00:00	4.742	1.056	-12.975	86	9.355	1013.133	0.98
2010-01-03 11:00:00	4.856	1.268	-13.05	86	36.199	1012.425	0.98
2010-01-03 12:00:00	5.061	1.221	-12.265	86.458	51.803	1011.687	0.94
2010-01-03 13:00:00	4.986	0.987	-11.72	87	45.731	1010.833	0.9
2010-01-03 14:00:00	4.913	0.796	-11.342	87	47.537	1010.033	0.9
2010-01-03 15:00:00	4.854	0.608	-10.932	87.917	32.376	1009.554	0.94
2010-01-03 16:00:00	4.863	0.552	-10.482	89	7.674	1009.087	0.98
2010-01-03 17:00:00	4.842	0.407	-10.108	89.458	0.043	1008.463	1
2010-01-03 18:00:00	4.821	0.074	-9.83	90	0	1008.437	1
2010-01-03 19:00:00	4.662	-0.453	-10.095	90	0	1008.417	1
2010-01-03 20:00:00	4.046	-0.538	-11.075	90.917	0	1008.108	0.88
2010-01-03 21:00:00	3.51	0.077	-10.917	91.083	0	1007.954	0.64
2010-01-03 22:00:00	3.459	0.315	-11.202	90.458	0	1007.946	0.38
